% 1. Title: Classification
% 2. Sources:
% (a) Creator: Nuria Rodriguez, Eva Valls

@RELATION genre
@ATTRIBUTE the STRING
@ATTRIBUTE to STRING
@ATTRIBUTE and STRING
@ATTRIBUTE a STRING
@ATTRIBUTE of STRING
@ATTRIBUTE class {female,male}
@DATA
53,18,12,14,21,male
27,18,6,13,20,female
39,21,13,17,20,female
32,27,45,18,26,male
58,23,36,22,19,male
62,63,65,63,37,male
48,23,29,18,24,female
55,37,21,32,29,female
51,10,20,13,24,male
55,17,16,15,26,male
27,14,18,25,15,male
26,10,10,6,10,female
33,26,15,19,26,female
37,31,37,20,12,male
39,25,16,18,18,male
42,15,17,26,22,male
11,9,4,5,8,male
74,46,55,37,47,male
57,34,59,25,32,male
51,28,37,44,17,female
32,15,9,10,11,male
28,15,9,14,18,female
65,53,57,50,39,male
25,22,19,15,9,female
30,7,8,18,13,male
47,29,21,33,17,female
71,50,38,37,28,male
32,23,29,24,15,male
11,4,7,4,3,female
49,29,33,22,24,male
42,22,14,18,15,female
53,39,34,21,23,male
38,20,13,9,16,female
34,32,14,10,12,male
21,17,21,8,10,female
36,44,26,20,19,female
54,20,15,19,21,male
32,19,13,29,19,male
23,9,9,13,9,male
35,24,13,12,8,male
40,27,20,21,31,male
41,20,16,28,9,female
51,23,31,10,22,female
35,13,14,15,19,female
6,15,7,7,8,female
36,30,22,22,21,male
6,4,3,7,2,female
72,28,27,22,20,male
54,12,24,23,23,male
42,32,24,40,19,female
40,15,32,22,24,male
50,27,21,29,32,male
36,23,19,14,19,female
109,90,87,76,53,male
35,18,22,20,11,male
37,17,15,14,16,female
53,30,17,42,22,female
14,6,11,12,9,male
33,22,19,23,14,female
47,17,31,29,30,male
23,14,13,24,31,male
63,23,35,31,23,male
32,19,8,11,8,female
34,12,28,22,16,female
46,22,21,37,20,female
55,19,24,24,30,male
25,23,16,14,12,female
15,2,4,6,10,female
62,54,55,65,31,male
55,39,48,47,35,male
36,20,25,23,11,male
17,26,17,33,10,male
28,19,9,18,13,male
49,34,42,28,23,male
41,29,35,15,23,male
18,17,16,27,7,female
16,8,7,10,12,female
81,40,33,25,34,male
36,27,30,20,18,male
51,21,28,25,24,female
144,49,29,41,55,male
64,33,21,17,32,female
43,26,25,19,21,male
26,13,7,7,10,female
15,7,3,5,7,male
44,32,31,51,26,male
18,13,6,10,11,female
45,39,48,34,27,male
23,14,6,6,9,male
52,29,22,17,40,female
37,10,11,20,16,male
21,11,6,5,11,female
39,30,20,28,15,female
20,17,7,8,4,female
41,69,56,37,35,male
34,32,23,13,24,female
45,34,30,16,20,male
61,29,18,13,22,female
39,35,26,21,17,female
35,15,23,14,14,male
42,27,32,23,34,female
47,28,12,9,27,female
63,30,20,37,32,female
34,13,20,8,18,female
42,30,18,11,17,female
30,20,15,14,28,female
52,53,32,42,51,male
57,19,22,21,27,male
28,14,10,13,13,female
50,52,31,57,23,male
118,55,85,67,51,male
17,12,8,12,16,female
13,6,1,2,14,female
34,16,12,32,9,male
38,14,10,18,18,female
74,30,23,33,17,female
43,37,38,44,40,male
42,10,15,41,17,female
45,24,17,18,21,female
51,45,66,31,28,male
38,27,24,27,12,male
31,20,13,18,23,female
42,27,20,20,18,female
28,9,6,7,9,female
57,17,30,12,17,female
34,31,18,30,27,male
24,11,14,13,7,male
52,41,29,34,25,male
21,17,15,12,10,male
20,14,15,26,9,male
36,20,14,9,21,female
9,5,3,3,5,female
57,54,23,41,31,female
36,18,14,14,14,male
49,26,33,26,27,female
20,3,?,6,9,female
24,10,6,5,11,female
57,56,41,46,25,male
49,19,21,29,24,female
32,11,14,8,15,female
101,100,116,81,61,male
26,18,20,20,16,male
6,1,3,1,3,male
56,25,19,16,28,male
51,47,22,22,18,male
51,35,32,39,31,female
9,5,2,7,2,female
29,16,13,17,20,female
59,33,17,12,23,female
48,15,25,24,20,female
77,30,30,37,35,male
40,7,11,21,19,male
36,11,18,17,19,male
28,20,17,11,13,female
33,14,17,16,12,male
16,19,8,18,9,female
49,22,39,28,22,male
37,17,22,13,20,female
81,47,37,41,29,male
33,15,14,4,17,female
31,24,13,12,14,male
23,16,15,7,14,female
15,8,3,2,2,female
39,15,18,14,24,female
77,51,41,27,25,male
30,11,13,16,9,male
36,21,20,23,7,male
38,63,33,36,35,male
10,16,10,11,11,female
61,18,16,19,27,male
16,12,22,14,17,female
28,17,14,13,11,female
5,?,4,4,4,male
62,35,16,14,27,male
38,9,10,10,21,male
20,20,7,16,6,male
30,12,17,24,11,male
33,35,34,20,19,male
32,21,9,13,10,female
22,15,15,9,12,female
49,20,6,21,17,female
18,9,13,2,6,female
42,17,27,27,21,female
37,14,18,23,13,male
20,5,6,12,10,male
27,24,14,14,12,female
51,33,29,23,24,female
62,37,14,10,22,male
22,16,13,12,8,female
11,12,11,11,11,male
8,6,5,10,6,female
27,18,20,19,14,female
40,34,35,16,14,female
75,41,44,48,33,male
43,40,24,33,36,male
29,12,14,24,9,male
38,25,27,7,19,female
45,28,24,9,14,female
39,18,20,8,17,male
56,63,43,63,34,male
67,47,17,29,25,female
29,21,10,18,16,male
19,16,12,12,14,female
24,16,7,7,17,female
62,42,48,35,33,male
66,37,33,21,32,male
41,19,16,24,14,female
6,7,2,3,3,female
21,12,13,8,12,female
24,18,6,8,14,female
36,23,23,10,9,female
14,9,9,3,6,female
31,10,24,23,20,male
22,18,8,8,8,male
27,22,25,19,22,female
43,25,16,19,9,male
40,8,17,13,16,male
16,17,7,10,13,female
48,35,17,17,18,female
41,15,27,18,38,male
14,10,6,10,5,female
23,10,9,9,12,male
29,14,34,28,16,male
50,35,31,31,20,female
29,23,28,28,21,male
45,15,10,14,20,female
51,48,29,18,15,male
32,18,10,15,19,female
48,24,28,26,30,female
31,10,14,16,18,male
25,15,12,12,13,female
44,24,23,10,24,male
50,24,24,24,11,female
61,20,20,27,17,female
49,42,39,44,24,male
67,20,24,23,36,male
40,11,27,15,20,female
43,27,16,15,12,male
63,24,31,14,30,male
25,27,11,15,17,female
27,21,15,18,13,female
45,12,29,11,22,male
49,21,13,13,17,male
48,21,12,28,21,female
31,12,11,34,12,male
44,17,12,11,20,male
?,?,?,?,?,female
19,12,9,3,12,male
27,14,13,10,10,female
73,20,41,21,41,female
73,38,62,35,37,male
11,8,6,5,5,female
23,12,11,8,14,female
44,16,20,24,13,male
30,19,11,18,13,male
43,27,19,22,19,female
80,74,61,58,34,female
20,16,13,18,15,female
35,14,26,9,11,female
22,28,4,16,12,male
58,30,16,19,38,female
19,12,8,7,10,female
40,39,29,38,29,male
29,18,26,11,18,female
85,31,41,41,68,male
76,23,24,17,21,female
39,23,32,20,20,male
88,48,55,28,34,female
44,20,10,8,26,female
32,19,29,14,12,female
56,31,37,37,23,male
55,54,52,34,25,male
47,31,30,34,29,female
60,19,15,6,21,male
14,8,8,9,7,female
50,36,13,34,32,female
38,19,10,10,15,female
50,11,17,25,30,male
29,16,5,12,6,male
31,7,7,18,8,male
35,20,27,24,16,female
37,7,19,11,31,male
24,13,5,7,11,male
45,24,32,21,22,female
53,34,40,42,21,male
